id,nombre,latitud,longitud,rating,precio_promedio,fecha_apertura
1,"El Asador Argentino",-34.603722,-58.381592,4.5,85.75,2015-03-15
2,"Sushi Garden",-34.608295,-58.370239,4.2,120.50,2018-07-22
3,"Pizza Napoli",-34.611456,-58.377483,4.0,45.25,2010-11-30
4,"La Trattoria",-34.599876,-58.384567,4.7,95.80,2012-05-10
5,"Burger House",-34.605123,-58.379654,3.8,35.90,2019-09-05
6,"Mariscos del Puerto",-34.602345,-58.375432,4.3,110.25,2016-12-18
7,"Tacos Mexicanos",-34.607891,-58.382109,4.1,55.60,2017-04-25
8,"Thai Orchid",-34.604567,-58.373218,4.6,88.40,2014-08-12
9,"Steak Master",-34.609234,-58.378765,4.4,75.30,2013-01-20
10,"Pasta Fresca",-34.601098,-58.380987,4.2,65.75,2011-10-08
11,"Café Paris",-34.606543,-58.376543,3.9,28.90,2020-02-14
12,"Indian Spice",-34.603210,-58.374321,4.5,78.50,2015-06-30
13,"Ramen House",-34.608765,-58.379876,4.3,52.25,2018-03-17
14,"Mediterráneo",-34.602987,-58.377654,4.7,92.80,2012-09-22
15,"Carnes Premium",-34.605432,-58.381098,4.1,105.40,2017-11-11
16,"Vegetariano Verde",-34.607123,-58.375678,4.4,42.60,2019-05-19
17,"Parrilla Criolla",-34.604098,-58.382345,4.8,68.90,2010-07-07
18,"Sushi Express",-34.609876,-58.376890,3.7,95.25,2021-01-25
19,"Pizza Artesanal",-34.601765,-58.378123,4.2,38.75,2016-04-13
20,"Mariscos Frescos",-34.606321,-58.380543,4.6,125.80,2014-12-05
21,"BBQ Ranch",-34.603654,-58.379210,4.3,79.50,2018-10-30
22,"Cocina Peruana",-34.608432,-58.381765,4.5,87.25,2013-03-28
23,"Tapas Españolas",-34.602109,-58.376098,4.1,58.90,2017-08-15
24,"Wok Asiático",-34.607654,-58.378432,4.0,47.35,2020-06-12
25,"Hamburguesas Gourmet",-34.604321,-58.375765,4.2,32.80,2019-12-03
26,"Pescados del Mar",-34.609543,-58.382098,4.7,115.60,2011-05-21
27,"Comida Árabe",-34.601432,-58.379654,4.4,63.40,2015-09-14
28,"Parrillada Gaucha",-34.606098,-58.377321,4.9,89.75,2012-02-09
29,"Sushi Bar",-34.603876,-58.381876,4.3,108.90,2016-07-26
30,"Pizza Familiar",-34.608210,-58.375109,3.8,29.95,2021-04-18
